,title,url,rating,review_count,price
39,"Earbuds, Vogek Tangle-Free Flat Cord Ergonomic in-Ear Headphones with Dynamic Crystal Clear Sound, Earphones with S/M/L Eartips Compatible with Samsung, Android Phone and More (Blue)",https://www.amazon.com/Tangle-Free-Ergonomic-Headphones-Earphones-Compatible/dp/B08595B6H5/ref=sr_1_42?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-42,4.4 out of 5 stars,"4,312",$13.99
40,"Mpow Jaws Gen5 Bluetooth Headphones 18H Playtime for Work from Home, V5.0 Wireless Neckband Headphones Online Teaching & Conference, Bluetooth Headset Call Vibrate & CVC6.0 Noise Cancelling Mic, Black",https://www.amazon.com/Mpow-Upgraded-Bluetooth-Headphones-Cancelling/dp/B07RM4ZGH4/ref=sr_1_43?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-43,4.3 out of 5 stars,"17,152",$29.99
41,"PowerLocus Bluetooth Over-Ear Headphones, Wireless Stereo Foldable Headphones Wireless and Wired Headsets with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Black/Orange)",https://www.amazon.com/PowerLocus-Bluetooth-Over-Ear-Headphones-Wireless/dp/B07D3NCH22/ref=sr_1_44?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-44,4.4 out of 5 stars,"9,935",$24.99
42,"noot products NP11 Wireless Bluetooth Earbuds Headphones with Mic, Volume & Remote Control IPX7 Sweatproof in-Ear for Sports, Running, Gym",https://www.amazon.com/noot-products-NP11-Headphones-Waterproof/dp/B07SRVYKDF/ref=sr_1_45?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-45,4.4 out of 5 stars,"1,263",$14.19
43,"A12 Headphones Earphones Earbuds Earphones, Noise Islating, High Definition, Fits All 3.5mm InterfaceStereo for Samsung, iPhone,iPad, iPod and Mp3 Players(Black+White+Pink+Green 4pairs)",https://www.amazon.com/Headphones-Earphones-Islating-Definition-Players%EF%BC%88Black/dp/B07TGTSKSH/ref=sr_1_46?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-46,4.0 out of 5 stars,885,$10.99
44,Bose SoundLink Around Ear Wireless Headphones II - Black,https://www.amazon.com/Auriculares-inal%C3%A1mbricos-externos-SoundLink-negro/dp/B0117RGG8E/ref=sr_1_47?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-47,4.5 out of 5 stars,"9,356",$229.00
45,"BENGOO G9000 Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games",https://www.amazon.com/BENGOO-G9000-Controller-Cancelling-Headphones/dp/B01H6GUCCQ/ref=sr_1_48?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-48,4.3 out of 5 stars,"20,556",$39.89
46,"LETSCOM Bluetooth Headphones, 100 Hours Playtime Bluetooth 5.0 Headphones Over Ear with Deep Bass, Hi-Fi Sound and Soft Earpads, Built-in Mic, Wired/Wireless Headset for Home Office-Red Purple",https://www.amazon.com/LETSCOM-Bluetooth-Headphones-Playtime-Office-Red/dp/B086GPHS71/ref=sr_1_49?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-49,4.4 out of 5 stars,"6,095",$27.00
47,Sony MDR7506 Professional Large Diaphragm Headphone,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E/ref=sr_1_50?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-50,4.7 out of 5 stars,"8,329",$94.99
48,"Mpow CH8 Kids Headphones with Microphone (2-Pack), Wired On-Ear Headsets with Safe Volume Limited 91dB, Foldable Durable Earphones w/Audio Splitter for Boys/Girls/Toddlers/Children/School/Travel/Plane",https://www.amazon.com/Mpow-CH8-Auriculares-micr%C3%B3fono-ni%C3%B1os/dp/B07RSJX4KW/ref=sr_1_51?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&smid=A1E57UY6AMKO25&sr=1-51,4.7 out of 5 stars,686,$22.94
